Price,Year,Mileage,City,State,Vin,Make,Model
13473,2010,29875,West Palm Beach, FL,JH4CU2F69AC026376,Acura,TSX4dr
14895,2015,46243,Wappingers Falls, NY,19VDE1F35FE006900,Acura,ILX5-Speed
15895,2015,24511,Doral, FL,19VDE1F7XFE007415,Acura,ILX5-Speed
16651,2015,32203,Bethesda, MD,19VDE1F31FE000740,Acura,ILX5-Speed
12930,2014,61189,Littleton, CO,19VDE1F30EE006463,Acura,ILX5-Speed
18500,2015,15817,Dublin, OH,19VDE1F33FE000142,Acura,ILX5-Speed
15999,2014,15181,Marrieta, GA,19VDE1F5XEE013700,Acura,ILX5-Speed
13419,2011,58105,Minnetonka, MN,JH4CU2F68BC010431,Acura,TSX4dr
14499,2014,33363,Miami, FL,19VDE1F52EE009561,Acura,ILX5-Speed
19411,2014,20192,Honolulu, HI,JH4CU2F45EC000281,Acura,TSX5-Speed
15500,2014,43359,Slidell, LA,19VDE1F34EE011486,Acura,ILX5-Speed
15889,2013,37303,Pembroke Pines, FL,JH4CU2F84DC011676,Acura,TSXSpecial
18450,2015,17014,Tucson, AZ,19VDE1F38FE006793,Acura,ILX5-Speed
16999,2014,21064,Stanton, CA,JH4CU2F40EC000785,Acura,TSX5-Speed
14595,2013,37852,Bay Shore, NY,19VDE1F36DE020348,Acura,ILX5-Speed
15383,2015,45616,Bay Shore, NY,19VDE1F36FE000023,Acura,ILX5-Speed
11991,2008,59594,Albuquerque, NM,JH4CL968X8C011232,Acura,TSX4dr
17997,2015,12638,Roslyn, NY,19VDE1F37FE003495,Acura,ILX5-Speed
16499,2015,18583,Montclair, CA,19VDE1F3XFE008562,Acura,ILX5-Speed
17544,2014,30879,Ellicott City, MD,JH4CU2F65EC004025,Acura,TSX5-Speed
16385,2015,30014,Wappingers Falls, NY,19VDE1F34FE008198,Acura,ILX5-Speed
16000,2015,41310,Clearwater, FL,19VDE1F35FE006475,Acura,ILX5-Speed
13999,2015,49192,West Palm Beach, FL,19VDE1F59FE008375,Acura,ILX5-Speed
15999,2014,34037,Garland, TX,JH4CU2F82EC004226,Acura,TSXSpecial
11982,2013,69027,Lakewood, NJ,19VDE1F54DE003839,Acura,ILX5-Speed
17969,2015,17419,Hoffman Estates, IL,19VDE1F39FE006589,Acura,ILX5-Speed
14995,2013,20261,Wall, NJ,19VDE1F3XDE022216,Acura,ILX5-Speed
13977,2013,35370,Akron, OH,19VDE1F38DE016589,Acura,ILX5-Speed
17376,2016,27384,Watertown, MA,19UDE2F39GA016641,Acura,ILXAutomatic
14989,2015,37882,Pelham, AL,19VDE1F36FE002371,Acura,ILX5-Speed
10990,2012,81301,Homestead, FL,JH4CU2F80CC018400,Acura,TSXAutomatic
13999,2015,49881,Miami Gardens, FL,19VDE1F58FE001689,Acura,ILX5-Speed
14494,2010,36875,Ardmore, PA,JH4CU2F67AC013206,Acura,TSX4dr
18488,2015,18719,San Diego, CA,19VDE1F38FE010844,Acura,ILX5-Speed
15200,2013,36128,Alpharetta, GA,JH4CU2F42DC004576,Acura,TSX5-Speed
13900,2015,51544,Rahway, NJ,19VDE1F37FE001441,Acura,ILX5-Speed
8572,2004,51293,Fairfax, VA,JH4CL96834C036838,Acura,TSXAutomatic
14921,2012,41726,Austin, TX,JH4CU2F44CC006229,Acura,TSXAutomatic
12995,2013,50162,Morrow, GA,19VDE1F74DE020786,Acura,ILX5-Speed
19444,2016,20905,Daphne, AL,19UDE2F39GA023427,Acura,ILXAutomatic
10999,2010,61157,Hialeah, FL,JH4CU2F65AC003919,Acura,TSX4dr
10995,2011,69900,Naugatuck, CT,JH4CU2F68BC006590,Acura,TSX4dr
16985,2015,16951,Roslyn, PA,19VDE1F33FE006152,Acura,ILX5-Speed
15999,2014,35537,West Palm Beach, FL,JH4CU2F41EC002982,Acura,TSX5-Speed
17495,2014,31801,Egg Harbor, NJ,JH4CU2F84EC004244,Acura,TSXSpecial
13995,2012,42600,Naugatuck, CT,JH4CU2F46CC006507,Acura,TSXAutomatic
16224,2015,36007,Delray Beach, FL,19VDE1F3XFE005435,Acura,ILX5-Speed
16999,2015,30940,North Charleston, SC,19VDE1F33FE003512,Acura,ILX5-Speed
16239,2015,24184,Roswell, GA,19VDE1F36FE000278,Acura,ILX5-Speed
17499,2015,21958,Tempe, AZ,19VDE1F31FE001998,Acura,ILX5-Speed
11585,2012,80359,Davie, FL,JH4CU2F81CC002691,Acura,TSXAutomatic
16990,2013,30621,Wappingers Falls, NY,JH4CU2F40DC003569,Acura,TSX5-Speed
11995,2010,63421,Alexandria, VA,JH4CU2E67AC008279,Acura,TSX4dr
15775,2012,30171,Jenkintown, PA,JH4CU2F41CC012120,Acura,TSXAutomatic
16850,2015,33770,Indian Trail, NC,19VDE1F3XFE006021,Acura,ILX5-Speed
19000,2015,10967,Falls Church, VA,19VDE1F38FE008074,Acura,ILX5-Speed
14995,2013,31508,Hackettstown, NJ,19VDE1F57DE022563,Acura,ILX5-Speed
12750,2010,53892,Mount Airy, NC,JH4CU2F63AC033243,Acura,TSX4dr
8900,2010,105055,Chicago, IL,JH4CU2F63AC004728,Acura,TSX4dr
17631,2015,25267,Bethesda, MD,19VDE1F34FE008847,Acura,ILX5-Speed
7783,2009,109568,Hurst, TX,JH4CU26639C015823,Acura,TSX4dr
17991,2013,20906,Greenville, SC,JH4CU2F45DC000795,Acura,TSX5-Speed
10995,2010,63141,Ontario, NY,JH4CU2F66AC002407,Acura,TSX4dr
7750,2006,83324,Woodside, NY,JH4CL96966C037574,Acura,TSXAutomatic
14985,2013,56964,Fayetteville, NC,JH4CU2F44DC013487,Acura,TSX5-Speed
11995,2014,76722,Hackettstown, NJ,19VDE1F37EE002328,Acura,ILX5-Speed
17591,2015,31968,Tacoma, WA,19VDE1F52FE007844,Acura,ILX5-Speed
16900,2014,38076,Peoria, AZ,JH4CU2F4XEC005301,Acura,TSX5-Speed
14999,2014,32047,Orlando, FL,19VDE1F73EE008212,Acura,ILX5-Speed
16994,2014,35396,Wappingers Falls, NY,JH4CU2F48EC004454,Acura,TSX5-Speed
18050,2015,19704,Austin, TX,19VDE1F34FE002059,Acura,ILX5-Speed
14990,2010,25475,Orland Park, IL,JH4CU2F60AC023320,Acura,TSX4dr
10823,2010,70204,Schaumburg, IL,JH4CU2F62AC024050,Acura,TSX4dr
15933,2011,27848,Norristown, PA,JH4CU2F64BC017148,Acura,TSX4dr
16488,2015,23277,Chantilly, VA,19VDE1F37FE006705,Acura,ILX5-Speed
15990,2015,29384,Greatneck, NY,19VDE1F74FE009242,Acura,ILX5-Speed
17966,2015,19420,Lebanon, OR,19VDE1F39FE001568,Acura,ILX5-Speed
17497,2015,21098,Roseville, CA,19VDE1F3XFE010263,Acura,ILX5-Speed
15500,2012,44059,Wexford, PA,JH4CU2F40CC022833,Acura,TSXAutomatic
14500,2014,38814,Kissimmee, FL,19VDE1F33EE006750,Acura,ILX5-Speed
13794,2011,57509,Ardmore, PA,JH4CU2F61BC003255,Acura,TSX4dr
14991,2014,37469,Avenel, NJ,19VDE1F78EE008898,Acura,ILX5-Speed
11359,2010,69217,Tampa, FL,JH4CU2F69AC008573,Acura,TSX4dr
15889,2014,22832,Roswell, GA,19VDE1F31EE013390,Acura,ILX5-Speed
15995,2015,30347,Bethlehem, PA,19VDE1F31FE002505,Acura,ILX5-Speed
16999,2015,18281,Miami Gardens, FL,19VDE1F33FE000254,Acura,ILX5-Speed
21000,2017,4279,Chicago, IL,19UDE2F30HA004475,Acura,ILXAutomatic
16999,2015,18386,West Covina, CA,19VDE1F50FE005011,Acura,ILX5-Speed
17461,2015,29719,Bethesda, MD,19VDE1F38FE010519,Acura,ILX5-Speed
17995,2015,20863,Egg Harbor, NJ,19VDE1F30FE006772,Acura,ILX5-Speed
16490,2015,24825,South Easton, MA,19VDE1F30FE002303,Acura,ILX5-Speed
15499,2015,36830,Montclair, CA,19VDE1F34FE010145,Acura,ILX5-Speed
17988,2015,21495,Raleigh, NC,19VDE1F32FE007583,Acura,ILX5-Speed
17300,2015,37138,Slidell, LA,19VDE1F36FE003746,Acura,ILX5-Speed
14999,2015,42989,Duluth, GA,19VDE1F37FE000614,Acura,ILX5-Speed
15000,2014,42689,Eatontown, NJ,19VDE1F35EE014364,Acura,ILX5-Speed
15495,2015,50825,Bay Shore, NY,19VDE1F38FE008575,Acura,ILX5-Speed
16997,2015,28905,West Bend, WI,19VDE1F3XFE009789,Acura,ILX5-Speed
16750,2015,22205,Union City, GA,19VDE1F36FE000071,Acura,ILX5-Speed
12795,2010,61586,Indianapolis, IN,JH4CU2F61AC041440,Acura,TSX4dr
17920,2013,21148,Chantilly, VA,JH4CU2F82DC010204,Acura,TSXSpecial
14226,2014,44226,Roswell, GA,19VDE1F30EE010769,Acura,ILX5-Speed
14995,2015,43614,Chantilly, VA,19VDE1F31FE000091,Acura,ILX5-Speed
14497,2010,29167,Roswell, GA,JH4CU2F66AC026657,Acura,TSX4dr
11549,2010,83411,Dublin, OH,JH4CU2F64AC027015,Acura,TSX4dr
16986,2016,28443,Windsor Locks, CT,19UDE2F35GA018242,Acura,ILXAutomatic
17693,2015,28475,Rockwall, TX,19VDE1F32FE002982,Acura,ILX5-Speed
16740,2015,22833,Newnan, GA,19VDE1F32FE004053,Acura,ILX5-Speed
15999,2015,31776,West Palm Beach, FL,19VDE1F52FE009867,Acura,ILX5-Speed
18999,2014,16891,Langhorne, PA,JH4C42F48EC000677,Acura,TSX
14795,2013,29198,Midway City, CA,19VDE1F74DE011599,Acura,ILX5-Speed
16993,2014,28930,Bedford, OH,JH4CU2F8XEC000408,Acura,TSXSpecial
18998,2016,19847,Woodbridge, VA,19UDE2F31GA024328,Acura,ILXAutomatic
17593,2015,25840,Tempe, AZ,19VDE1F37FE004470,Acura,ILX5-Speed
14985,2012,57387,Garden City, GA,JH4CU2F86CC016215,Acura,TSXAutomatic
10000,2010,92684,Antioch, IL,JH4CU2F63AC035221,Acura,TSX4dr
16968,2014,29784,Cincinnati, OH,JH4CU2F82EC000578,Acura,TSXSpecial
18698,2016,27463,Chantilly, VA,19UDE2F33GA012536,Acura,ILXAutomatic
17800,2014,19873,Elmhurst, NY,JH4CU2F48EC001151,Acura,TSX5-Speed
10990,2010,79123,Hudson, WI,JH4CU2F64AC036328,Acura,TSX4dr
15990,2014,24252,Chantilly, VA,19VDE1F58EE008835,Acura,ILX5-Speed
15981,2015,42890,West Bend, WI,19VDE1F31FE010099,Acura,ILX5-Speed
15440,2014,31166,Newnan, GA,19VDE1F59EE006771,Acura,ILX5-Speed
14900,2013,29100,Plano, TX,19VDE1F76DE018859,Acura,ILX5-Speed
16440,2013,28572,Scranton, PA,19VDE1F56DE014518,Acura,ILX5-Speed
16981,2014,39205,Buford, GA,JH4CU2F85EC004611,Acura,TSXSpecial
17655,2015,13443,Des Plaines, IL,19VDE1F32FE003873,Acura,ILX5-Speed
18832,2015,9132,Brooklyn, NY,19VDE1F35FE010834,Acura,ILX5-Speed
17499,2016,24005,West Palm Beach, FL,19UDE2F38GA006330,Acura,ILXAutomatic
18203,2014,23560,Milford, CT,JH4CU2F41EC003050,Acura,TSX5-Speed
12995,2012,61515,Bethany, OK,JH4CU2F8XCC009087,Acura,TSXAutomatic
17996,2015,20617,Doylestown, PA,19VDE1F79FE004408,Acura,ILX5-Speed
17758,2014,34497,Dublin, OH,JH4CU2F89EC005597,Acura,TSXSpecial
18500,2015,10442,Elmhurst, IL,19VDE1F33FE002599,Acura,ILX5-Speed
11000,2012,93661,Schenectady, NY,JH4CU2F40CC006213,Acura,TSXAutomatic
15495,2014,46718,Hopkins, MN,19VDE1F3XEE012044,Acura,ILX5-Speed
16170,2014,50055,Plantation, FL,JH4CU2F41EC000309,Acura,TSX5-Speed
19970,2014,7496,San Antonio, TX,JH4CU2F40EC005792,Acura,TSX5-Speed
13974,2010,39740,Delray Beach, FL,JH4CU2F60AC031157,Acura,TSX4dr
14597,2010,35155,Doylestown, PA,JH4CU2F68AC014302,Acura,TSX4dr
16500,2015,27896,Canton, MA,19VDE1F35FE007920,Acura,ILX5-Speed
18194,2015,25853,Ardmore, PA,19VDE1F36FE002158,Acura,ILX5-Speed
15490,2015,40131,Kennesaw, GA,19VDE1F34FE007892,Acura,ILX4dr
15000,2011,48384,Bethesda, MD,JH4CU2F65BC006370,Acura,TSX4dr
15494,2012,45417,Loveland, CO,JH4CU2F60CC007217,Acura,TSXAutomatic
9717,2007,74429,Tewksbury, MA,JH4CL96847C007238,Acura,TSX4dr
16498,2014,44331,Arlington, TX,JH4CU2F86EC005590,Acura,TSXSpecial
18995,2014,15953,Newport News, VA,19VDE1F79EE010420,Acura,ILX5-Speed
15994,2014,35452,Wappingers Falls, NY,19VDE1F59EE006804,Acura,ILX5-Speed
17000,2014,23453,Modesto, CA,19VDE1F33EE014041,Acura,ILX5-Speed
17400,2014,36169,Belleville, IL,JH4CU2F47EC005370,Acura,TSX5-Speed
11786,2010,73311,Waukesha, WI,JH4CU2F67AC009544,Acura,TSX4dr
16493,2015,37455,Fort Pierce, FL,19VDE1F53FE004774,Acura,ILX5-Speed
6929,2010,133548,Woodside, NY,JH4CU2F60AC037041,Acura,TSX4dr
11993,2012,98634,Hopkinsville, KY,JH4CU2F46CC010055,Acura,TSXAutomatic
15799,2015,33888,North Miami, FL,19VDE1F31FE002150,Acura,ILX5-Speed
15999,2016,43080,Miami Gardens, FL,19UDE2F34GA022475,Acura,ILXAutomatic
9495,2010,87355,El Paso, TX,JH4CU2F65AC012331,Acura,TSX4dr
16240,2015,31624,Newnan, GA,19VDE1F3XFE002258,Acura,ILX5-Speed
16689,2015,49140,Louisville, KY,19VDE1F30FE001992,Acura,ILX5-Speed
13695,2013,45213,Doral, FL,19VDE1F7XDE006519,Acura,ILX5-Speed
15000,2014,55643,Jersey City, NJ,JH4CU2F43EC000750,Acura,TSX5-Speed
15999,2015,34717,West Palm Beach, FL,19VDE1F33FE000433,Acura,ILX5-Speed
14999,2013,47086,San Antonio, TX,JH4CU2F64DC012339,Acura,TSX5-Speed
16994,2015,22756,Hollywood, FL,19VDE2E50FE000124,Acura,ILX6-Speed
8888,2010,94925,Long Beach, MS,JH4CU2F65AC002835,Acura,TSX4dr
16899,2014,32983,West Park, FL,JH4CU2F40EC004495,Acura,TSX5-Speed
20400,2014,13527,Tulsa, OK,JH4CU2F47EC005028,Acura,TSX5-Speed
13998,2010,41652,Playa Vista, CA,JH4CU2F65AC027928,Acura,TSX4dr
11995,2009,49153,Schaumburg, IL,JH4CU266X9C021537,Acura,TSX4dr
16965,2015,23404,Framingham, MA,19VDE1F33FE005454,Acura,ILX5-Speed
16887,2013,12083,Dallas, TX,19VDE1F72DE007518,Acura,ILX5-Speed
15997,2015,43879,Richmond, VA,19VDE1F37FE008194,Acura,ILX5-Speed
13495,2010,39885,Grove City, OH,JH4CU2F68AC011271,Acura,TSX4dr
14477,2015,53555,Duluth, GA,19VDE1F34FE003518,Acura,ILX5-Speed
17592,2013,27671,Arlington, TX,JH4CU2F86DC002865,Acura,TSXSpecial
17179,2015,26806,Middletown, NY,19VDE1F38FE002498,Acura,ILX5-Speed
17000,2015,23351,Marietta, GA,19VDE1F33FE002277,Acura,ILX5-Speed
16195,2013,33520,Midway City, CA,JH4CU2F42DC006151,Acura,TSX5-Speed
15230,2014,36248,Buford, GA,19VDE1F55EE010865,Acura,ILX5-Speed
14991,2012,62738,Springfield, MO,JH4CU2F49CC025052,Acura,TSXAutomatic
18996,2015,7738,Woodside, NY,19VDE1F3XFE001806,Acura,ILX5-Speed
14567,2015,52922,Sarasota, FL,19VDE1F35FE006895,Acura,ILX5-Speed
15999,2015,32769,North Miami, FL,19VDE1F33FE001985,Acura,ILX5-Speed
12700,2011,78550,Saco, ME,JH4CU2F61BC014305,Acura,TSX4dr
18397,2015,22333,West Caldwell, NJ,19VDE1F3XFE009940,Acura,ILX5-Speed
16460,2015,30222,Framingham, MA,19VDE1F32FE007499,Acura,ILX5-Speed
14998,2013,30633,Marlborough, MA,19VDE1F55DE014073,Acura,ILX5-Speed
18967,2014,25760,Bethesda, MD,JH4CU2F45EC001821,Acura,TSX5-Speed
12558,2013,73003,Chamblee, GA,19VDE1F59DE003836,Acura,ILX5-Speed
18492,2015,21451,Bountiful, UT,19VDE1F32FE009494,Acura,ILX5-Speed
16995,2014,23223,Midlothian, VA,19VDE1F32EE013656,Acura,ILX5-Speed
17877,2015,29996,Bentonville, AR,19VDE1F35FE003558,Acura,ILX5-Speed
18000,2015,32664,McKinney, TX,19VDE1F32FE000021,Acura,ILX5-Speed
14302,2013,86180,Northborough, MA,JH4CU2F42DC000396,Acura,TSX5-Speed
17995,2014,30817,Macon, GA,JH4CU2F62EC003625,Acura,TSX5-Speed
10000,2010,101228,Branford, CT,JH4CU2F67AC024836,Acura,TSX4dr
15999,2014,27550,East Haven, CT,19VDE1F37EE008405,Acura,ILX5-Speed
17398,2014,20922,Sanford, FL,19VDE1F31EE013938,Acura,ILX5-Speed
12998,2012,75501,Moon Township, PA,JH4CU2F41CC005121,Acura,TSXAutomatic
15995,2014,27883,Chantilly, VA,19VDE1F3XEE005465,Acura,ILX5-Speed
16000,2014,27857,Linden, NJ,19VDE1F78EE010473,Acura,ILX5-Speed
16995,2014,53888,Lawrence, KS,JH4CU2F47EC000718,Acura,TSX5-Speed
14495,2013,37513,Chantilly, VA,19VDE1F38DE011893,Acura,ILX5-Speed
15500,2014,41177,East Hanover, NJ,19VDE1F54EE012364,Acura,ILX5-Speed
15394,2014,45059,Wappingers Falls, NY,19VDE1F50EE010871,Acura,ILX5-Speed
17729,2014,43113,Rogers, AR,JH4CU2F8XEC005110,Acura,TSXSpecial
15493,2013,35401,Minneapolis, MN,19VDE1F39DE004144,Acura,ILX5-Speed
16863,2014,29232,Middletown, CT,19VDE1F37EE011028,Acura,ILX5-Speed
12944,2012,75074,Raynham, MA,JH4CU2F49CC014049,Acura,TSXAutomatic
17140,2015,41354,Lone Tree, CO,19VDE1F77FE004200,Acura,ILX5-Speed
12995,2010,47476,Bountiful, UT,JH4CU2F66AC016047,Acura,TSX4dr
11398,2010,70066,Scarsdale, NY,JH4CU2F65AC004133,Acura,TSX4dr
17499,2014,10187,Miami Gardens, FL,19VDE1F72EE006581,Acura,ILX5-Speed
17969,2015,29028,Hoffman Estates, IL,19VDE1F37FE005957,Acura,ILX5-Speed
17850,2014,36795,St. George, UT,JH4CU2F42EC004126,Acura,TSX5-Speed
11890,2014,77898,Greatneck, NY,19VDE1F31EE014765,Acura,ILX5-Speed
17990,2015,34022,Virginia Beach, VA,19VDE1F30FE003693,Acura,ILX5-Speed
15970,2014,28854,Stone Mountain, GA,19VDE1F76EE000072,Acura,ILX5-Speed
8999,2008,85390,Allentown, PA,JH4CL96808C006590,Acura,TSX4dr
15986,2013,44155,Fort Washington, PA,JH4CU2F42DC000818,Acura,TSX5-Speed
14922,2012,59349,Merriam, KS,JH4CU2F85CC016223,Acura,TSXAutomatic
16992,2014,25154,Kennesaw, GA,19VDE1F53EE009309,Acura,ILX5-Speed
15495,2014,34631,Bountiful, UT,19VDE1F54EE006547,Acura,ILX5-Speed
17321,2015,29563,Stamford, CT,19VDE1F52FE009707,Acura,ILX5-Speed
17995,2015,22374,Columbus, OH,19VDE1F32FE005090,Acura,ILX5-Speed
17997,2015,23065,Enfield, CT,19VDE1F34FE003714,Acura,ILX5-Speed
15995,2013,37718,Great Neck, NY,JH4CU2F41DC012670,Acura,TSX5-Speed
14595,2011,56289,Naperville, IL,JH4CU2F60BC016952,Acura,TSX4dr
13990,2012,66602,Denville, NJ,JH4CU2F44CC026464,Acura,TSXAutomatic
16995,2015,25464,Waterbury, CT,19VDE1F30FE000082,Acura,ILX5-Speed
15890,2015,38772,South Easton, MA,19VDE1F30FE005864,Acura,ILX5-Speed
17500,2015,35388,Pasadena, CA,19VDE1F30FE001300,Acura,ILX5-Speed
16250,2015,34510,Union City, GA,19VDE1F30FE005234,Acura,ILX5-Speed
18492,2014,15930,Marietta, GA,19VDE1F77EE008651,Acura,ILX5-Speed
16969,2014,33203,Hoffman Estates, IL,19VDE1F52EE004098,Acura,ILX5-Speed
14642,2013,46133,Plantation, FL,19VDE1F30DE018093,Acura,ILX5-Speed
15996,2015,51871,Egg Harbor, NJ,19VDE1F31FE006389,Acura,ILX5-Speed
16987,2014,30075,Corona, CA,19VDE1F54EE013353,Acura,ILX5-Speed
11988,2009,71466,Waukesha, WI,JH4CU26699C008696,Acura,TSX4dr
14995,2011,50848,Lexington, KY,JH4CU2F66BC017510,Acura,TSX4dr
15998,2015,37726,Sarasota, FL,19VDE1F3XFE006018,Acura,ILX5-Speed
13975,2014,66853,Westmont, IL,19VDE1F72EE011943,Acura,ILX5-Speed
12950,2010,66848,Fairborn, OH,JH4CU2F64AC017651,Acura,TSX4dr
14999,2013,46067,Chicago, IL,19VDE1F77DE000984,Acura,ILX5-Speed
16998,2015,35736,San Juan, TX,19VDE1F7XFE002425,Acura,ILX5-Speed
12598,2011,70911,Woburn, MA,JH4CU2F67BC002904,Acura,TSX4dr
15777,2015,40637,Pontiac, MI,19VDE1F39FE006561,Acura,ILX5-Speed
19001,2015,11206,Plantation, FL,19VDE1F30FE006996,Acura,ILX5-Speed
17250,2017,40101,Norcross, GA,19UDE2F32HA001240,Acura,ILXAcuraWatch
18371,2015,26189,Bethesda, MD,19VDE1F37FE001956,Acura,ILX5-Speed
14610,2009,32576,Chesapeake, VA,JH4CU26649C035384,Acura,TSX4dr
22000,2017,10,Chicago, IL,19UDE2F34HA011879,Acura,ILXAutomatic
22000,2017,10,Chicago, IL,19UDE2F35HA011597,Acura,ILXAutomatic
16511,2014,39949,Bethlehem, PA,19VDE1F30EE000369,Acura,ILX5-Speed
18189,2015,22646,San Jose, CA,19VDE1F3XFE003863,Acura,ILX5-Speed
14200,2012,70706,Pittsburgh, PA,JH4CU2F48CC013314,Acura,TSXAutomatic
16590,2013,31439,Fredericksburg, VA,JH4CU2F45DC012414,Acura,TSX5-Speed
15900,2015,39477,Baltimore, MD,19VDE1F36FE002306,Acura,ILX5-Speed
17000,2014,46319,Richmond, VA,JH4CU2F41EC004909,Acura,TSX5-Speed
15955,2015,38897,Leominster, MA,19VDE1F32FE005865,Acura,ILX5-Speed
17988,2014,23623,VIRGINIA BEACH, VA,JH4CU2F42EC003848,Acura,TSX5-Speed
17995,2015,31872,Indianapolis, IN,19VDE2E55FE000037,Acura,ILX6-Speed
